CBDREGNO,SMILES,InChI Key,Type
10624,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)c2cc3cc(OCCCNC(=O)C[C@@H]4N=C(c5ccc(Cl)cc5)c5c(sc(C)c5C)-n5c(C)nnc54)ccc3o2)C(C)(C)C)cc1,NNRNVOXKXQKOLG-CGDHKWSBSA-N,PROTAC
21560,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)[C@H]2CC[C@@H](c3cnc(N4C5CCC4CN(c4cc(-c6ccccc6O)nnc4N)C5)nc3)CC2)C(C)(C)C)cc1,SJPLQGPNFYKWGD-YYVBVRPTSA-N,Degrader
15049,CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncc(F)cc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCc3cc(F)c(C4CCC(=O)NC4=O)c(F)c3)CC2)CC1,ADEGTKQSBCVRHU-UHFFFAOYSA-N,PROTAC
2676,[2H]CN1CC2CC(C1)N2CC1CCN([2H])CC1,ZQIHXWGPIRXFGN-PFUFQJKNSA-N,Linker
15242,CCOc1cc(N2CCC(N3CCN(CC4CN(c5cc(F)c([C@H]6CCC(=O)NC6=O)c(F)c5)C4)CC3)CC2)c(CC)cc1Nc1ncc(Br)c(Nc2ccc3c(=O)n(CC)ncc3c2P(C)(C)=O)n1,UJIZRMREGUHVTB-PGUFJCEWSA-N,PROTAC
1392,[2H]OCCOCCOCCOCCCCC([2H])C(F)(F)F,QRROQEXKBKVWCL-OQPAGSFBSA-N,Linker
19933,O=C(NCCOCCOCCOc1ccc(-c2ccc3c(c2)[nH]c2ccncc23)cn1)c1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,JWJWUGQNFXLDKN-UHFFFAOYSA-N,PROTAC
7365,CC(C)(C)[C@H](NC(=O)COCCCOCCCCOc1ccc(N2C(=S)N(c3ccc(C#N)c(Cl)c3)C(=O)C2(C)C)cc1F)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2cnco2)cc1,OSPYJEMDPNQIIX-DRTKLYQKSA-N,PROTAC
1004,[2H]CCN1CCN(c2ccc(OCCCN3CCN([2H])CC3)cc2)CC1,MIYNKPGGHYRRHB-PFUFQJKNSA-N,Linker
12029,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OCCCCCC(=O)N3CCN(c4ccc(Nc5ncc6c(C)c(C(C)=O)c(=O)n(C7CCCC7)c6n5)nc4)CC3)c2)cs1)C1CCCCC1,XFZYOCUEKLZYCP-NWMLSJNZSA-N,PROTAC
9062,O=C1CCC(N2Cc3cc(O[C@H]4CCC[C@H]4N4CCOCC4)ccc3C2=O)C(=O)N1,PJJFUAKCVAOKKB-KGNCLDLBSA-N,Molecular Glue
4935,CC1(Oc2ccc3n[nH]c(-c4cc(N5CC(F)C5)ncn4)c3c2)CC1,STYUWYWRXTUIEH-UHFFFAOYSA-N,Warhead
15897,COc1cc(N2CCN(CCOc3ccc(-c4cnc5[nH]cc(C(=O)c6c(F)ccc(NS(=O)(=O)N7CC[C@@H](F)C7)c6F)c5c4)cc3)CC2)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,MFXOVBCNVOCYBT-URAFEBPUSA-N,PROTAC
14020,CCc1cc2c(cc1N1CCN(C(=O)CCCCCCSc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,OJNGJBJVEAOGQX-UHFFFAOYSA-N,PROTAC
16702,O=C1CCC(N2CC(c3ccc(N4CCN(CC5CCN(c6ccc([C@@H]7c8ccc(O)cc8CC[C@@H]7c7ccccc7)cc6)CC5)CC4)cc3)=CC2=O)C(=O)N1,GVEGUDDRXKAFFO-MLUHJYGWSA-N,PROTAC
7308,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)cc1,NRFUNIWQTXTAPE-JYCYPEEHSA-N,E3 Binder
17282,COc1cc2nn([C@H]3C[C@@H](CN4CC(c5cccc6c5n(C)c(=O)n6C5CCC(=O)NC5=O)C4)C3)cc2cc1NC(=O)c1cccc(C(F)(F)F)n1,OLKWQRJIJXEDEO-LYNWRGHFSA-N,PROTAC
15652,OCCNCc1ccc(OCc2ccccc2)c(O)c1,LJEHATYZMZGSQH-UHFFFAOYSA-N,Shuttle Protein
9419,CCN(C)[C@@H]1CCCC[C@@H]1Oc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,WRGQCTIOTYQPNC-KGNCLDLBSA-N,Molecular Glue
23639,CC(C)c1ccc(F)c(NC(=O)OCc2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c1,OLCUYJGFKWNRCN-UHFFFAOYSA-N,Degrader
307,[2H]C(=O)CCCC(=O)NCC([2H])=O,PIJCAVNFNFGLTJ-KCZCTXNHSA-N,Linker
5589,COc1cc(C2CCNCC2)ccc1Nc1ncc(C(F)(F)F)c(Nc2ccccc2C(C)=O)n1,PGNYVVYXYSJDGZ-UHFFFAOYSA-N,Warhead
23823,Cc1cn(CCCN)nn1,WBBHNERYDLGNGM-UHFFFAOYSA-N,Linker
7509,Cc1ncoc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCCOc2ccc(-c3ccc(N4C(=S)N(c5cnc(C#N)c(C(F)(F)F)c5)C(=O)C4(C)C)cc3)cc2)C(C)(C)C)cc1,GOOWFSYHBBZFDF-CENKHQFISA-N,PROTAC
6234,CNCC(NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)C(C)(C)C)c1ccc(-c2scnc2C)cc1,YSCPGSZUHMZOQB-LQDSCVQESA-N,E3 Binder
23564,O=C1CCC(N2Cc3ccc(COC(=O)NC4COC(c5ccccc5)OC4)cc3C2=O)C(=O)N1,ZBPRDHDLFQBBGY-UHFFFAOYSA-N,Degrader
21101,COc1cc(N2CCC(N(C)C(=O)C3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(C)=O)n1,SEBAERXCSZZMBV-UHFFFAOYSA-N,Degrader
7369,COc1cc(N2C(=O)C(C)(C)N(c3ccc(OCCCCOCCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCc4ccc(-c5cnco5)cc4)C(C)(C)C)c(F)c3)C2=S)ccc1C#N,GIJXCEHXJIUHAZ-KMLCJANTSA-N,PROTAC
8040,Cc1c(N)cncc1-c1cc2cc(NC(=O)CCCC(=O)NCCOCCOCCOCCOCCNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)ncc2c(N)c1F,AFRGRTKHYOIMGJ-UHFFFAOYSA-N,PROTAC
7036,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XKAYAFBLGLCWSY-UHFFFAOYSA-N,E3 Binder
23006,CNc1cc(Nc2cccn(-c3ccc(C(=O)N(C)Cc4ccc(-c5ccc6c(c5)n(C)c(=O)n6C5CCC(=O)NC5=O)cn4)cn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,AXAPFHMDQTZZKN-YLOHLGKFSA-N,Degrader
3655,[2H]CCOCCOCC(=O)N[2H],NHCPQLWQFVVDHX-PFUFQJKNSA-N,Linker
19811,CC(C)Oc1ccc(CN2CCC(c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)CC2)nc1,ZGQCTAYEKMUZPP-UHFFFAOYSA-N,Molecular Glue
7975,CCN(CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C)CC(=O)NCCCCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,CZJLQJSRANLHOR-OOAXWGSJSA-N,PROTAC
23880,CCCCOCCOCC=O,ABNCYCFVSTUSSK-UHFFFAOYSA-N,Linker
13359,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOc2cc(F)c([C@@H]3c4[nH]c5ccccc5c4C[C@@H](C)N3C[C@H](C)CO)c(F)c2)C(C)(C)C)cc1,ITNAWFSINVKGQQ-AQYNJGPDSA-N,PROTAC
14006,COc1cc(N2CCC(N3CCN(C(=O)CCCCCSc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,UIZYWMVSJXOGMI-UHFFFAOYSA-N,PROTAC
3196,[2H]C#CCCCCCCN[2H],REQFTYFGWVLWOQ-PFUFQJKNSA-N,Linker
13423,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCNC(=O)c1ccc(S(=O)(=O)Nc3ccc(C)c4c(C#N)c[nH]c34)cc1)c1nnc(C)n1-2,WZAIDLYGFXAOQS-UMSFTDKQSA-N,PROTAC
6612,O=C1CCC(c2c[nH]cn2)C(=O)N1,HHPVBYIJFILNFC-UHFFFAOYSA-N,E3 Binder
14141,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCSc1cccc3c1CN(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,NEJRLXFCYHQJGD-QBHOUYDASA-N,PROTAC
14969,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC3CN(c4ccc(C5CCC(=O)NC5=O)c(F)c4)C3)CC2)CC1,VYNCCKSKGCWIAH-UHFFFAOYSA-N,PROTAC
24043,CCCCCCOCCOCCOCC=O,LXNFXESLWGQEQX-UHFFFAOYSA-N,Linker
69,[2H]CCOCCOCCCCOCCOCC[2H],QVWKJUDBTGCDAF-QDNHWIQGSA-N,Linker
21093,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)CN1CCC(c2ccc(NC3CCC(=O)NC3=O)cc2)CC1,QHSSWNLISHORIJ-UHFFFAOYSA-N,Degrader
18956,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCOCCOCCCOc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1)c1ccccc1,UETACXZGVSOKKZ-NJMFHTGSSA-N,PROTAC
21559,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)Cc2ccc(-c3cnc(N4C5CCC4CN(c4cc(-c6ccccc6O)nnc4N)C5)nc3)cc2)C(C)(C)C)cc1,SECMIPOEDDAVSM-YMNQWFGKSA-N,Degrader
21438,Cn1c(=O)n(C2CCC(=O)NC2=O)c2ccc(CCc3cnc(N4C5CCC4CN(c4cc(-c6ccccc6O)nnc4N)C5)nc3)cc21,STTUMTRLKLBINU-UHFFFAOYSA-N,Degrader
206,[2H]C(=O)COCCOCCOCC([2H])=O,QWCKYSJSASSVOR-QDNHWIQGSA-N,Linker
19857,CCCC(c1ccc(CCC(=O)N2CCC(CN3CCC(C(=O)Nc4ncc(SCc5ncc(C(C)(C)C)o5)s4)CC3)CC2)cc1)N(C)C(=O)/C(C#N)=C/c1nccs1,NQYMXGRBDVYWIY-JGRMKTMXSA-N,PROTAC
18223,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCCOc2ncc(N3C(=S)N(c4ccc(C#N)c(C(F)(F)F)c4F)C(=O)C3(C)C)cc2C(F)(F)F)C(C)(C)C)cc1,NADUFANCWYQJPV-KVEZMQAFSA-N,PROTAC
11960,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCC(=O)N2CCN(c3ccc(Nc4ncc5cc(C(=O)N(C)C)n(C6CCCC6)c5n4)nc3)CC2)C(C)(C)C)cc1,ZGHAHLVLJCAYCT-IQAAXGBFSA-N,PROTAC
10263,C[C@H]1CC2(CCN(c3ccc(C(=O)N4CCN(C5CN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)C5)CC4)cc3)CC2)CN1c1cnc(C#N)c(C(F)(F)F)c1,HNKPULWLPWUHNX-FDLYHPRCSA-N,PROTAC
8618,O=C1CCC(N2Cc3cc(N4CCN(CCO[C@H]5C[C@@H](Oc6ccc([C@@H]7c8ccc(O)cc8CC[C@@H]7c7ccccc7)cc6)C5)CC4)ccc3C2=O)C(=O)N1,WQEHHOOLWBGLLA-PWDXZVANSA-N,PROTAC
7614,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCOCCOCCCOc2ccc(N3C(=S)N(c4ccc(C#N)c(C(F)(F)F)c4)C(=O)C3(C)C)cc2)C(C)(C)C)cc1,SQWCFWLAGZSECP-AKCINUCUSA-N,PROTAC
11221,N#Cc1ccc(O[C@H]2CC[C@@H](NC(=O)c3ccc(N4CCC(CN5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC4)nc3)CC2)cc1Cl,CZKOLOSYDIPADF-XHXOVENVSA-N,PROTAC
24370,CCOCCOCCOCCn1cc(CCCC(N)=O)nn1,VKADYKRAOVRMLK-UHFFFAOYSA-N,Linker
3536,[2H]C(=O)[C@@H]1CCN(Cc2cnc(N3C4CCC3CN([2H])C4)nc2)C1,UIAVYZNPMJRYJD-AKFWMFCJSA-N,Linker
20212,CN1CCN(C2CC3CC2N(c2nnc(C(N)=O)c(Nc4ccc(C5CCN(C6CN(c7ccc8c(c7)C(=O)N(C7CCC(=O)NC7=O)C8=O)C6)CC5)cc4)n2)C3)C1=O,ZMPCRIRAEDDGSD-UHFFFAOYSA-N,Degrader
20396,CN1CCN([C@@H]2CCCN(c3nnc(C(N)=O)c(Nc4ccc(N5CCN(CC6CCN(c7ccc(N8CCC(=O)NC8=O)cc7)CC6)C(=O)C5)c(F)c4)n3)C2)C1=O,FLYSTUMWPWZLKP-GDLZYMKVSA-N,Degrader
6571,Cc1ccc(NS(=O)(=O)c2ccc(NCCN)cc2)c2[nH]cc(C#N)c12,PUIRLKSNAJNVPX-UHFFFAOYSA-N,E3 Binder
1689,[2H]CC(=O)NC1CCN([2H])CC1,YLWUSMHZABTZGP-PFUFQJKNSA-N,Linker
18695,CNC(=O)COc1cc2cc(Nc3nc(N4CCC(O[C@H]5C[C@H](N6C[C@H](C)C(c7ccc8c(c7)C(=O)N(C7CCC(=O)NC7=O)C8=O)[C@@H](C)C6)C5)CC4)ncc3Cl)ccc2n(C(C)C)c1=O,FXBJOVOANKWBLA-KNPSQJRXSA-N,PROTAC
464,[2H]N1CCC(CNC2CCN([2H])CC2)CC1,XRTGXVDKNIUEBO-ZSJDYOACSA-N,Linker
24454,C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N5CCN(C(=O)CCCCCCCNC(=O)c6ccc(NC(=O)[C@@H]7N[C@@H](CC(C)(C)C)[C@](C#N)(c8ccc(Cl)cc8F)[C@H]7c7cccc(Cl)c7F)c(OC)c6)CC5)cc4OC)nc32)c1,GGZIIUYEYTZDCD-ASJDMNHUSA-N,PROTAC
24042,CCNC(=O)COCCOCCOCC,SNIYVBISNQQNQP-UHFFFAOYSA-N,Linker
22181,CNC(=O)COc1cc2cc(Nc3nc(N4CCC(CC5CCN(c6ccc7c(C8CCC(=O)NC8=O)nn(C)c7c6)C5)CC4)ncc3Cl)ccc2n(C)c1=O,UITBXXPOSNLQTD-UHFFFAOYSA-N,Degrader
2272,[2H]C(=O)CN1CCC(N2CCCN(c3ccc([2H])cc3)CC2)CC1,ZFXHJGRXUDWLHQ-UFIAHCKSSA-N,Linker
18889,CC[C@H](C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1ccc(OCC(=O)NCCCCCCCCNC(=O)COc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cc1)c1cc(OC)c(OC)c(OC)c1,AKKPPMOMDJMETD-IQWQIDOGSA-N,PROTAC
4564,O=C(Nc1ccnc(Cl)c1)Nc1ccnc(C#Cc2cccc(C(=O)O)c2)c1,ATBXCKLXXDLBAC-UHFFFAOYSA-N,Warhead
3184,[2H]C1CCN(CC2(C)CCN([2H])C2)CC1,QPNXJEKMTDCAPD-YQWZEFQTSA-N,Linker
14074,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C(=O)CCCCCSc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,HKTXWPOLWNVQRM-UHFFFAOYSA-N,PROTAC
2535,[2H]C[C@@H]1CCN(CCCO[2H])C1,RBPKQHNYKJHOQM-BNHWBNABSA-N,Linker
8646,O=C1CCC(N2Cc3cc(N4CCN(CC5CCN(c6ccc([C@H]7c8ccc(O)cc8CC[C@H]7c7ccccc7)cc6F)CC5)CC4)ccc3C2=O)C(=O)N1,HMJPYTUDBOCFFX-VDBJOWFHSA-N,PROTAC
20005,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCN(C(=O)CCOCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCc3ccc(-c4scnc4C)cc3)C(C)(C)C)CC2)C1,PJKAOMQYOKYHBK-GTLHEHMGSA-N,Degrader
6171,CCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1O)C(C)(C)C,OWDMZVBQEAYYGC-KGVIQGDOSA-N,E3 Binder
6540,O=C1CCC(N2Cc3ncccc3C2=O)C(=O)N1,NOCXQSYFQQQRKE-UHFFFAOYSA-N,E3 Binder
8371,O=C1CCC(N2Cc3cc(N4CCN(CCO[C@H]5CC[C@H](Oc6ccc([C@@H]7c8ccc(O)cc8CC[C@@H]7c7ccc(C(F)(F)F)cc7)cc6)CC5)CC4)ccc3C2=O)C(=O)N1,UEGMDEAVKDYMRB-KLHIQQACSA-N,PROTAC
14394,COc1ccc2c(c1)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCCCCCSc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,JAAKRSQGFDJWDS-TXEYEHERSA-N,PROTAC
10427,C[C@H]1CC2(CCN(c3ccc(C(=O)N4CCC(CN5CCCc6cc7c(cc6C5)C(=O)N(C5CCC(=O)NC5=O)C7=O)CC4)cc3)CC2)CN1c1ccc(C#N)c(Cl)c1,PGRSMMCXSXAUHK-CNNPJYHGSA-N,PROTAC
23848,O=C(CO)NCCCCNC(=O)CN1CCN(CCO)CC1,CVBSTBYZTRZSSA-UHFFFAOYSA-N,Linker
21956,CC(C)c1cc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)ccc1OCCN1C[C@@H](C)N(CC(=O)Nc2cc(F)cc(NC3CCC(=O)NC3=O)c2)[C@@H](C)C1,HNIHIOKKHNFSEL-BYGMXFQISA-N,Molecular Glue
7781,Cc1ncsc1-c1ccc([C@@H](CN(C)C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCCCOc2ccc(C(=O)N[C@H]3C(C)(C)[C@H](Oc4ccc(C#N)c(Cl)c4)C3(C)C)cc2)C(C)(C)C)cc1,FFYUADYUZOZTBS-CGYUWRLZSA-N,PROTAC
1511,[2H]CCC1CCN(c2ncc([2H])cc2F)CC1,RRGSPMXKYWWQIH-SDTNDFKLSA-N,Linker
2878,[2H]Cc1ccc(C([2H])=O)c(F)c1,MVDRIMBGRZBWPE-WQPYEJCJSA-N,Linker
25649,Nc1nc2c(ncn2[C@H]2O[C@@H](COS(=O)(=O)O)[C@H](O)[C@@H]2O)c(=O)[nH]1,NAAAVEJZEVEAMU-GIMIYPNGSA-N,Warhead
11991,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCCC(=O)N(C)[C@@H](C)C(=O)N[C@H](C(=O)N5CCC[C@H]5c5nc(C(=O)c6ccc(F)cc6)cs5)C5CCCCC5)CC4)cn3)nc2n(C2CCCC2)c1=O,MIDRNDGCXUZQRD-AGZLUFCVSA-N,PROTAC
1413,[2H]O[C@H]1C[C@H](OCC2(COCCCOC3CN([2H])C3)COC2)C1,QAPQIDOGVKPJFV-OQXBQZJTSA-N,Linker
2307,[2H]c1ccc(N2C[C@H]3C[C@@H]2CN3CC2CCN([2H])CC2)cc1,ZQMFJPRGXPPHAC-DRFYFIJVSA-N,Linker
4864,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOCC2)CN1,FEKCERXCVYUTPK-HYBUGGRVSA-N,Warhead
17963,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2F)C(=S)N1c1ccc(CCCC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)nc1,AKZRZJCUNURSNZ-UHFFFAOYSA-N,PROTAC
2056,[2H]O[C@H]1CC[C@@H](C(=O)N2CCN(C3CCN([2H])CC3)CC2)CC1,NTTPKMLXXWTEDA-WRPOOCLGSA-N,Linker
11701,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOCc2ccc(-c3ccc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4c3)o2)C(C)(C)C)cc1,DMYWPOMOUYLXFS-WOPAXDDLSA-N,PROTAC
14481,CNCC#Cc1ccc(C2Oc3ccc(O)cc3C(C)=C2c2cccc(O)c2)cc1,RSYXAXMMNUPGEK-UHFFFAOYSA-N,Molecular Glue
8754,O=C1CCC(N2Cc3cc(O[C@H]4C[C@@H](N5CCC(CCOc6ccc([C@@H]7c8ccc(O)cc8CC[C@@H]7c7ccccc7)cc6)CC5)C4)ccc3C2=O)C(=O)N1,KJGSECMHDBYKEW-VMWSPCPISA-N,PROTAC
25132,NC(=O)c1cc2c(=O)n(CC(=O)NCCCCNC(=O)COc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)c(=O)n(C3CC3)c2nc1N,UVIMLBRFFJYCEW-UHFFFAOYSA-N,PROTAC
17668,COc1cc2nc([C@H]3CC[C@H](CN(C)CCCCNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)sc2cc1NC(=O)c1cccc(C(F)(F)F)n1,QKLSYESZQJYBEM-RZWCHVLBSA-N,PROTAC
16363,C[C@H]1C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]2[C@@H](OC(=O)NCCOCCCCCOCCNc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,CNBCUOLHVCFAKM-RSVHLZKGSA-N,PROTAC
